UserId,ContenentId_x,RegionId_x,CountryId_x,CityId_x,FullId,CityId_y,CityName,CountryId_y,Country,RegionId_y,Region,ContentId,ContenentId_y,Contenent
880,4,16,115,5596.0,4161155596.0,5596,Palmerston North,115,New Zealand,16,Oceania,4,4,Australia & Oceania
882,5,19,141,6484.0,5191416484.0,6484,Roskilde,141,Denmark,19,Northern Europe,5,5,Europe
885,3,14,101,3297.0,3141013297.0,3297,Yogyakarta Region,101,Indonesia,14,South East Asia,3,3,Asia
888,5,19,142,6512.0,5191426512.0,6512,Helsinki,142,Finland,19,Northern Europe,5,5,Europe
891,3,13,93,2730.0,313932730.0,2730,Goa,93,India,13,South Asia,3,3,Asia
894,3,13,95,2938.0,313952938.0,2938,Kathmandu,95,Nepal,13,South Asia,3,3,Asia
898,2,8,51,2012.0,28512012.0,2012,Tucson,51,United States,8,Northern America,2,2,America
907,3,14,106,3551.0,3141063551.0,3551,Singapore,106,Singapore,14,South East Asia,3,3,Asia
908,5,21,159,7474.0,5211597474.0,7474,Moret-sur-Loing,159,France,21,Western Europe,5,5,Europe
918,3,14,100,2999.0,3141002999.0,2999,Dili,100,East Timor,14,South East Asia,3,3,Asia
919,2,8,51,676.0,2851676.0,676,Appleton,51,United States,8,Northern America,2,2,America
920,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
